status,product_slug,product_name,image_path,match_method,confidence,best_guess_product_slug,best_guess_product_name,best_guess_score
mapped,antarctica,Antarctica,SAI/Antarctica White.jpg,manual_confirmed_by_user,high,,,
mapped,antline,Antline,SAI/Antline.jpg,exact_name,high,,,
mapped,ash-grey,Ash Grey,SAI/Ash Grey.jpg,exact_name,high,,,
mapped,atlantic-grey,Atlantic Grey,Atlantic Grey.jpg,exact_name,high,,,
mapped,beachport,Beachport,Beachport.jpg,exact_name,high,,,
mapped,beige-travertine-sai,Beige Travertine (SAI),SAI/Beige Travertine.jpg,exact_name,high,,,
mapped,belgium-blue,Belgium Blue,SAI/Belgium Blue.jpg,exact_name,high,,,
mapped,beloka,Beloka,Beloka.jpg,exact_name,high,,,
mapped,bianca-chiaro,Bianca Chiaro,Bianca Chiaro.jpg,exact_name,high,,,
mapped,black-ochre-blend,Black Ochre Blend,SAI/Black Ochre Blend.jpg,exact_name,high,,,
mapped,blue-ridge,Blue Ridge,Blue Ridge Ledge.jpg,name_alias,high,,,
mapped,blueocean,Blueocean,SAI/Blueocean Honed.jpg,base_name_plus_variant,medium,,,
mapped,blueocean,Blueocean,SAI/Blueocean Sawn.jpg,base_name_plus_variant,medium,,,
mapped,buffalo,Buffalo,Buffalo.jpg,exact_name,high,,,
mapped,charlotte,Charlotte,Charlotte.jpg,exact_name,high,,,
mapped,classic-travertine-sai,Classic Travertine (SAI),Classic Travertine Vien Cut.jpg,base_name_plus_variant,medium,,,
mapped,classic-travertine-sai,Classic Travertine (SAI),SAI/Classic Travertine_Honed and filled.jpg,name_alias,high,,,
mapped,classic-travertine-sai,Classic Travertine (SAI),SAI/Classic Travertine_Tumbled and Unfilled.jpg,name_alias,high,,,
mapped,classic-travertine-sai,Classic Travertine (SAI),Standard Classic Travertine.jpg,name_alias,high,,,
mapped,classic-travertine-sai,Classic Travertine (SAI),Standard Classic Travertine_2.jpg,name_alias,high,,,
mapped,crema-siena,Crema Siena,Crema Siena.jpg,exact_name,high,,,
mapped,frozen-blue,Frozen Blue,SAI/Frozen Blue.jpg,exact_name,high,,,
mapped,glacier,Glacier,Glacier.jpg,exact_name,high,,,
mapped,grey-apricot,Grey Apricot,SAI/Grey Apricot.jpg,exact_name,high,,,
mapped,grey-permeable-paver,Grey Permeable Paver,SAI/Permeable Paver.jpg,manual_confirmed_by_user,high,,,
mapped,honey-limestone,Honey Limestone,Honey Limestone.jpg,exact_name,high,,,
mapped,hotham,Hotham,Hotham.jpg,exact_name,high,,,
mapped,jamieson,Jamieson,Jamieson.jpg,exact_name,high,,,
mapped,ken-black,Ken Black,SAI/Ken Black.jpg,exact_name,high,,,
mapped,lux-black,Lux Black,SAI/Lux Black.jpg,exact_name,high,,,
mapped,moonlight-grey,Moonlight Grey,SAI/Moonlight Grey.jpg,exact_name,high,,,
mapped,multicolor-ochre-blend,MultiColor Ochre Blend,SAI/Multicolor Ochre Blend..jpg,exact_name,high,,,
mapped,new-grey,New Grey,SAI/New Grey.jpg,exact_name,high,,,
mapped,nimbus-white,Nimbus White,Nimbus White.jpg,exact_name,high,,,
mapped,pearl-grey,Pearl Grey,Pearl Grey.jpg,exact_name,high,,,
mapped,philadelphia-silver-travertine-vien-cut,Philadelphia Silver Travertine Vien Cut,Philadelphia Silver Travertine Vien Cut.jpg,exact_name,high,,,
mapped,philadelphia-silver-travertine-vien-cut,Philadelphia Silver Travertine Vien Cut,Philadelphia Silver Travertine.jpg,manual_confirmed_by_user,high,,,
mapped,premium-classic-travertine-artma,Premium Classic Travertine (Artma),Premium Classic Travertine.jpg,exact_name,high,,,
mapped,red-ochre-blend,Red Ochre Blend,SAI/Red Ochre Blend..jpg,exact_name,high,,,
mapped,reefstone-creamy-white,Reefstone Creamy White,SAI/Reefstone Creamy White.jpg,exact_name,high,,,
mapped,reefstone-dark-grey,Reefstone Dark Grey,SAI/Reefstone Dark Grey.jpg,exact_name,high,,,
mapped,reefstone-neutral-grey,Reefstone Neutral Grey,SAI/Reefstone Neutral Grey.jpg,exact_name,high,,,
mapped,reefstone-warm-grey,Reefstone Warm Grey,SAI/Reefstone Warm Grey.jpg,exact_name,high,,,
mapped,seagrass,Seagrass,Seagrass.jpg,exact_name,high,,,
